filename,label
ILSVRC2012_val_00008379.JPEG,16
ILSVRC2012_val_00030993.JPEG,12
ILSVRC2012_val_00020121.JPEG,24
ILSVRC2012_val_00024213.JPEG,24
ILSVRC2012_val_00038071.JPEG,12
ILSVRC2012_val_00010667.JPEG,20
ILSVRC2012_val_00041493.JPEG,20
ILSVRC2012_val_00036222.JPEG,30
ILSVRC2012_val_00041043.JPEG,12
ILSVRC2012_val_00018283.JPEG,24
ILSVRC2012_val_00009195.JPEG,24
ILSVRC2012_val_00043597.JPEG,30
ILSVRC2012_val_00020253.JPEG,30
ILSVRC2012_val_00000317.JPEG,10
ILSVRC2012_val_00022086.JPEG,40
ILSVRC2012_val_00009621.JPEG,16
ILSVRC2012_val_00033423.JPEG,30
ILSVRC2012_val_00036155.JPEG,12
ILSVRC2012_val_00048660.JPEG,10
ILSVRC2012_val_00046389.JPEG,16
ILSVRC2012_val_00010213.JPEG,30
ILSVRC2012_val_00048482.JPEG,40
ILSVRC2012_val_00016460.JPEG,30
ILSVRC2012_val_00031983.JPEG,24
ILSVRC2012_val_00028955.JPEG,12
ILSVRC2012_val_00033212.JPEG,12
ILSVRC2012_val_00019025.JPEG,10
ILSVRC2012_val_00042914.JPEG,8
ILSVRC2012_val_00032673.JPEG,12
ILSVRC2012_val_00034318.JPEG,8
ILSVRC2012_val_00002512.JPEG,40
ILSVRC2012_val_00003649.JPEG,16
ILSVRC2012_val_00002646.JPEG,8
ILSVRC2012_val_00030218.JPEG,20
ILSVRC2012_val_00030488.JPEG,10
ILSVRC2012_val_00047678.JPEG,12
ILSVRC2012_val_00023588.JPEG,24
ILSVRC2012_val_00030344.JPEG,24
ILSVRC2012_val_00042464.JPEG,8
ILSVRC2012_val_00026689.JPEG,20
ILSVRC2012_val_00004188.JPEG,8
ILSVRC2012_val_00035326.JPEG,30
ILSVRC2012_val_00002216.JPEG,24
ILSVRC2012_val_00038402.JPEG,24
ILSVRC2012_val_00028830.JPEG,16
ILSVRC2012_val_00048627.JPEG,30
ILSVRC2012_val_00020833.JPEG,10
ILSVRC2012_val_00041510.JPEG,20
ILSVRC2012_val_00007074.JPEG,8
ILSVRC2012_val_00009294.JPEG,30
ILSVRC2012_val_00038956.JPEG,40
ILSVRC2012_val_00025173.JPEG,40
ILSVRC2012_val_00032980.JPEG,30
ILSVRC2012_val_00016459.JPEG,16
ILSVRC2012_val_00019921.JPEG,12
ILSVRC2012_val_00014969.JPEG,20
