image_name,seq = 40,seq = 30,seq = 24,seq = 20,seq = 16,seq = 12,seq = 10,seq = 8,Best,max_min
ILSVRC2012_val_00032583.JPEG,0.6959192,0.13252121,0.14257361,0.08334411,0.34238023,0.009634641,0.040307175,0.019555662,seq = 40,0.686284559
ILSVRC2012_val_00043385.JPEG,0.689127,0.1811438,0.1596614,0.169297,0.08219157,0.25033286,0.06627312,0.006924448,seq = 40,0.682202552
ILSVRC2012_val_00023221.JPEG,0.7346026,0.24115044,0.15039903,0.101498805,0.19165957,0.6281772,0.5136919,0.06189009,seq = 40,0.67271251
ILSVRC2012_val_00034846.JPEG,0.7271085,0.13500915,0.13571069,0.13218518,0.09853239,0.10127039,0.055880632,0.14576818,seq = 40,0.671227868
ILSVRC2012_val_00023860.JPEG,0.7176809,0.46979415,0.5490803,0.41298336,0.5695583,0.34979752,0.04906024,0.45531154,seq = 40,0.66862066
ILSVRC2012_val_00015440.JPEG,0.6766053,0.042668704,0.032973222,0.049360957,0.048712127,0.037425004,0.03907647,0.014366642,seq = 40,0.6622386579999999
ILSVRC2012_val_00025071.JPEG,0.68758595,0.13040765,0.24986283,0.2845644,0.12617995,0.03051257,0.048701998,0.0424503,seq = 40,0.65707338
ILSVRC2012_val_00025990.JPEG,0.65209293,0.048559953,0.0314253,0.05321335,0.047509383,0.02081744,0.039602507,0.009096925,seq = 40,0.642996005
ILSVRC2012_val_00035573.JPEG,0.67646354,0.04116559,0.057399224,0.048412595,0.08496275,0.1401729,0.051224075,0.074312314,seq = 40,0.63529795
ILSVRC2012_val_00015848.JPEG,0.6170364,0.016745862,0.005089091,0.014446631,0.016873347,0.0071013994,0.01242346,0.009066485,seq = 40,0.611947309
ILSVRC2012_val_00018499.JPEG,0.6197704,0.5793693,0.378461,0.5503879,0.5667446,0.27336308,0.5576675,0.0175956,seq = 40,0.6021748
ILSVRC2012_val_00017589.JPEG,0.59688693,0.03624,0.014884898,0.013493402,0.0087902015,0.0057943184,0.025208443,0.009123987,seq = 40,0.5910926116
ILSVRC2012_val_00015053.JPEG,0.5969908,0.029737374,0.040424604,0.034430042,0.021110946,0.010585677,0.06403242,0.15206762,seq = 40,0.586405123
ILSVRC2012_val_00044906.JPEG,0.5958258,0.28885478,0.16291673,0.14282586,0.08488681,0.08606429,0.149775,0.010714958,seq = 40,0.585110842
ILSVRC2012_val_00002591.JPEG,0.64235896,0.17976727,0.20483716,0.12866007,0.13670544,0.076601066,0.061428707,0.07905534,seq = 40,0.580930253
ILSVRC2012_val_00015240.JPEG,0.6061607,0.16816154,0.1896874,0.12606037,0.069061756,0.0776331,0.02588924,0.056038074,seq = 40,0.58027146
ILSVRC2012_val_00041565.JPEG,0.59636563,0.027092068,0.03316075,0.03498784,0.01932176,0.01621936,0.082611695,0.038354367,seq = 40,0.58014627
ILSVRC2012_val_00030419.JPEG,0.62458384,0.12023904,0.07602357,0.09883589,0.1393596,0.105292976,0.15868717,0.048453182,seq = 40,0.576130658
ILSVRC2012_val_00008396.JPEG,0.62331265,0.14007942,0.14097534,0.14984098,0.09767586,0.20126651,0.0486961,0.14165644,seq = 40,0.57461655
ILSVRC2012_val_00020941.JPEG,0.74858826,0.38399467,0.32719776,0.38960788,0.4500404,0.42863342,0.25361586,0.17771176,seq = 40,0.5708765
ILSVRC2012_val_00004022.JPEG,0.7010267,0.23103312,0.21331069,0.19227883,0.17761767,0.1543178,0.14907062,0.13454342,seq = 40,0.56648328
ILSVRC2012_val_00040797.JPEG,0.56859034,0.51116735,0.31277254,0.41788533,0.4476868,0.067922354,0.09802053,0.0051953285,seq = 40,0.5633950114999999
ILSVRC2012_val_00044798.JPEG,0.5858583,0.23393078,0.21143435,0.13038255,0.090750866,0.053635743,0.035645124,0.023494257,seq = 40,0.5623640430000001
ILSVRC2012_val_00011839.JPEG,0.78987414,0.3723775,0.48439223,0.35742247,0.44918102,0.25004545,0.2903201,0.23099066,seq = 40,0.55888348
ILSVRC2012_val_00035446.JPEG,0.66839105,0.26958102,0.21703245,0.20288359,0.13876224,0.12588665,0.14835836,0.11039072,seq = 40,0.55800033
ILSVRC2012_val_00042609.JPEG,0.567747,0.4932273,0.4937082,0.15687579,0.15245207,0.22637178,0.010278682,0.020071674,seq = 40,0.557468318
ILSVRC2012_val_00017544.JPEG,0.7130846,0.3608148,0.2463058,0.250242,0.30182377,0.26947603,0.15647805,0.5266384,seq = 40,0.5566065499999999
ILSVRC2012_val_00012658.JPEG,0.5953271,0.13299243,0.17059849,0.20309187,0.27281484,0.04210239,0.105045795,0.040167276,seq = 40,0.555159824
ILSVRC2012_val_00019914.JPEG,0.6089966,0.119716644,0.12373002,0.2145206,0.124698356,0.05566558,0.20269743,0.0949014,seq = 40,0.55333102
ILSVRC2012_val_00045883.JPEG,0.6055118,0.054328647,0.06944973,0.08965156,0.08560142,0.068319045,0.12129072,0.11070404,seq = 40,0.5511831530000001
ILSVRC2012_val_00048950.JPEG,0.68474185,0.6289413,0.5030494,0.47440764,0.5192597,0.33341855,0.13388604,0.66840595,seq = 40,0.55085581
ILSVRC2012_val_00016243.JPEG,0.5820312,0.06618509,0.061221607,0.06986299,0.061400898,0.03501455,0.06389805,0.076981455,seq = 40,0.54701665
ILSVRC2012_val_00003688.JPEG,0.5859486,0.4919647,0.4964263,0.2005508,0.34351817,0.14661694,0.08357406,0.046525605,seq = 40,0.539422995
ILSVRC2012_val_00045199.JPEG,0.60500115,0.090164416,0.083832785,0.0898205,0.10025342,0.1981153,0.06705372,0.09952083,seq = 40,0.53794743
ILSVRC2012_val_00037495.JPEG,0.6234538,0.18669455,0.16923822,0.20682706,0.19395976,0.115390904,0.15760593,0.08555872,seq = 40,0.53789508
ILSVRC2012_val_00028061.JPEG,0.6535969,0.32298112,0.3179683,0.4031531,0.45797923,0.15843382,0.22322148,0.11827322,seq = 40,0.5353236800000001
ILSVRC2012_val_00031604.JPEG,0.6689123,0.34160376,0.3548899,0.28278053,0.33574766,0.33758652,0.20330127,0.13496593,seq = 40,0.53394637
ILSVRC2012_val_00036936.JPEG,0.6108009,0.12619378,0.092087924,0.1149561,0.0817426,0.11162589,0.10001261,0.12368453,seq = 40,0.5290583
ILSVRC2012_val_00027482.JPEG,0.5507249,0.060912643,0.24492995,0.19258629,0.30463216,0.4430662,0.053213168,0.023397569,seq = 40,0.527327331
ILSVRC2012_val_00030954.JPEG,0.53476137,0.17636041,0.13484555,0.2974057,0.10235768,0.08305951,0.0202394,0.008461885,seq = 40,0.526299485
ILSVRC2012_val_00036054.JPEG,0.5342903,0.019034592,0.03672876,0.021187278,0.009728127,0.02089944,0.06126972,0.06418545,seq = 40,0.524562173
ILSVRC2012_val_00007451.JPEG,0.6020894,0.5130934,0.5148747,0.41594568,0.32198206,0.38707903,0.22725283,0.080630936,seq = 40,0.521458464
ILSVRC2012_val_00003652.JPEG,0.57612365,0.13064708,0.18764211,0.15368806,0.055040512,0.090952665,0.1046066,0.16369727,seq = 40,0.521083138
ILSVRC2012_val_00037731.JPEG,0.72607195,0.20687269,0.22483334,0.2268441,0.34936824,0.33696637,0.49507746,0.47073174,seq = 40,0.51919926
ILSVRC2012_val_00025553.JPEG,0.52733725,0.039055746,0.034403864,0.031691786,0.027021762,0.0102817975,0.06716974,0.07228275,seq = 40,0.5170554525
